island_id,pixel_area,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_u,centroid_v,root_to_tip_u,root_to_tip_v,face_count,mesh_names,part_counts,category_counts
79,11581,1286,1355,1389,1512,0.6537046,0.2985642,-0.2995215,-0.9540896,88,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":88}","{""left_braid_end"":44,""right_braid_end"":44}"
80,11537,1402,1356,1500,1510,0.7097896,0.2992971,0.0669485,-0.9977564,90,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":90}","{""left_braid_end"":45,""right_braid_end"":45}"
81,890,1960,1358,1980,1429,0.9621485,0.3192373,0.0005734,0.9999998,368,polySurface80Shape,"{""side"":368}","{""side_left"":137,""side_left_upper"":20,""side_right"":144,""side_right_upper"":21,""side_top_bridge"":46}"
82,107,1903,1365,1929,1376,0.9352871,0.3301298,0.9660339,0.2584153,15,polySurfaceShape68,"{""braid"":15}","{""left_braid_end"":15}"
83,181,2014,1368,2019,1416,0.9848721,0.3198374,-0.0090187,-0.9999593,24,polySurface80Shape|polySurfaceShape67,"{""side"":24}","{""side_left_upper"":8,""side_right_spike"":12,""side_top_bridge"":4}"
84,61094,979,1370,1094,2030,0.5081617,0.1890733,0.0204455,-0.999791,24,polySurface80Shape,"{""side"":24}","{""side_left"":18,""side_left_upper"":6}"
85,11,1916,1384,1920,1386,0.9370698,0.3232225,0.9903343,0.1387012,10,polySurfaceShape68,"{""braid"":10}","{""left_braid_end"":10}"
86,8211,1177,1406,1230,1673,0.5879881,0.2576513,0.0053622,-0.9999856,21,polySurface80Shape,"{""side"":21}","{""side_left"":21}"
87,37,2021,1435,2022,1456,0.9875097,0.2943398,-0.0261937,-0.9996569,2,polySurface80Shape,"{""side"":2}","{""side_top_bridge"":2}"
88,1890,1520,1442,1554,1514,0.7507877,0.2759775,-0.0162638,0.9998677,16,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":16}","{""left_braid_end"":8,""right_braid_end"":8}"
